"listS","marg","EmarClass"
"1, 2, 3, 4","1, 2, 3, 4",0.026
"1, 2, 3, 4","1, 2, 3, 4",0.056
"1, 2, 3, 4","1, 2, 3, 4",0.014
"1, 2, 3, 4","1, 2, 3, 4, 9",0.044
"1, 2, 3, 4","1, 2, 3, 4",0.026
"1, 2, 3, 4","1, 2, 3, 4",0.03
"1, 2, 3, 4","1, 2, 3, 4",0.034
"1, 2, 3, 4","1, 2, 3, 4",0.036
"1, 2, 3, 4","1, 2, 3, 4",0.026
"1, 2, 3, 4","1, 2, 3, 4",0.036
"1, 2, 3, 4","2, 3, 4",0.048
"1, 2, 3, 4","1, 2, 3, 4",0.03
"1, 2, 3, 4","1, 2, 3, 4",0.03
"1, 2, 3, 4","1, 2, 3, 4, 8",0.038
"1, 2, 3, 4","1, 2, 3, 4",0.042
"1, 2, 3, 4","1, 2, 3, 4, 6",0.058
"1, 2, 3, 4","2, 4",0.092
"1, 2, 3, 4","1, 2, 3, 4",0.034
"1, 2, 3, 4","1, 2, 3, 4",0.038
"1, 2, 3, 4","1, 2, 3, 4",0.034
"1, 2, 3, 4","1, 2, 3, 4, 7",0.034
"1, 2, 3, 4","1, 2, 3, 4",0.032
"1, 2, 3, 4","1, 2, 3, 4, 10",0.036
"1, 2, 3, 4","1, 2, 3, 4",0.056
"1, 2, 3, 4","1, 2, 3, 4, 5",0.038
"1, 2, 3, 4","1, 2, 3, 4",0.028
"1, 2, 3, 4","1, 2, 3, 4",0.026
"1, 2, 3, 4","1, 2, 3, 4",0.046
"1, 2, 3, 4","1, 2, 3, 4, 9",0.026
"1, 2, 3, 4","1, 2, 3, 4",0.036
"1, 2, 3, 4","1, 2, 3, 4",0.042
"1, 2, 3, 4","1, 2, 3, 4",0.036
"1, 2, 3, 4","1, 2, 3, 4",0.036
"1, 2, 3, 4","1, 2, 3, 4",0.038
"1, 2, 3, 4","1, 2, 3, 4",0.028
"1, 2, 3, 4","1, 2, 3, 4",0.036
"1, 2, 3, 4","1, 2, 3, 4",0.032
"1, 2, 3, 4","1, 2, 3, 4",0.036
"1, 2, 3, 4","1, 2, 3, 4",0.028
"1, 2, 3, 4","1, 2, 3, 4",0.032
"1, 2, 3, 4","1, 2, 3, 4",0.032
"1, 2, 3, 4","1, 2, 3, 4, 5",0.032
"1, 2, 3, 4","1, 2, 3, 4",0.046
"1, 2, 3, 4","1, 2, 3, 4",0.03
"1, 2, 3, 4","1, 2, 3, 4",0.042
"1, 2, 3, 4","1, 2, 3, 4",0.03
"1, 2, 3, 4","1, 2, 3, 4",0.038
"1, 2, 3, 4","1, 2, 3, 4",0.042
"1, 2, 3, 4","1, 2, 3, 4",0.032
"1, 2, 3, 4","1, 2, 3, 4",0.034
"1, 2, 3, 4","1, 2, 3, 4",0.046
"1, 2, 3, 4","1, 2, 3, 4",0.044
"1, 2, 3, 4","1, 3",0.108
"1, 2, 3, 4","1, 2, 3, 4, 7",0.026
"1, 2, 3, 4","1, 2, 3, 4, 8",0.036
"1, 2, 3, 4","2, 3, 4",0.072
"1, 2, 3, 4","1, 2, 3, 4",0.036
"1, 2, 3, 4","1, 2, 3, 4",0.048
"1, 2, 3, 4","1, 2, 3, 4, 10",0.04
"1, 2, 3, 4","1, 2, 3, 4",0.034
"1, 2, 3, 4","1, 2, 3, 4",0.018
"1, 2, 3, 4","1, 2, 3, 4",0.058
"1, 2, 3, 4","1, 2, 3, 4",0.028
"1, 2, 3, 4","1, 2, 3, 4",0.032
"1, 2, 3, 4","1, 2, 3, 4",0.038
"1, 2, 3, 4","1, 2, 3, 4",0.036
"1, 2, 3, 4","1, 2, 3, 4, 8",0.036
"1, 2, 3, 4","1, 2, 3, 4, 6",0.024
"1, 2, 3, 4","1, 2, 3, 4",0.04
"1, 2, 3, 4","1, 2, 3, 4, 8",0.03
"1, 2, 3, 4","1, 2, 3, 4",0.032
"1, 2, 3, 4","1, 2, 3, 4",0.036
"1, 2, 3, 4","1, 2, 3, 4, 10",0.036
"1, 2, 3, 4","1, 2, 3, 4",0.032
"1, 2, 3, 4","1, 2, 3, 4",0.038
"1, 2, 3, 4","1, 2, 3, 4",0.036
"1, 2, 3, 4","1, 2, 3, 4, 7",0.026
"1, 2, 3, 4","1, 2, 3, 4, 9",0.048
"1, 2, 3, 4","1, 2, 3, 4, 9",0.044
"1, 2, 3, 4","1, 2, 3, 4",0.034
"1, 2, 3, 4","1, 2, 3, 4",0.02
"1, 2, 3, 4","1, 2, 3, 4",0.046
"1, 2, 3, 4","1, 2, 3, 4",0.024
"1, 2, 3, 4","1, 2, 3, 4",0.026
"1, 2, 3, 4","1, 2, 3, 4",0.032
"1, 2, 3, 4","1, 2, 3, 4",0.028
"1, 2, 3, 4","1, 2, 3, 4",0.028
"1, 2, 3, 4","1, 2, 3, 4",0.028
"1, 2, 3, 4","3",0.194
"1, 2, 3, 4","1, 2, 3, 4",0.036
"1, 2, 3, 4","1, 2, 3, 4",0.028
"1, 2, 3, 4","1, 2, 3, 4",0.046
"1, 2, 3, 4","1, 2, 3, 4",0.04
"1, 2, 3, 4","1, 2, 3, 4",0.042
"1, 2, 3, 4","1",0.226
"1, 2, 3, 4","1, 2, 3, 4",0.022
"1, 2, 3, 4","1, 2, 3, 4",0.05
"1, 2, 3, 4","1, 2, 3, 4",0.034
"1, 2, 3, 4","1, 2, 3, 4",0.03
"1, 2, 3, 4","1, 2, 3, 4",0.028
