"listS","marg","EmarClass"
"1, 2, 3, 4","1, 2, 3, 4",0.218
"1, 2, 3, 4","1, 2, 3, 4",0.198
"1, 2, 3, 4","1, 2, 3, 4",0.258
"1, 2, 3, 4","1, 2, 3, 4",0.19
"1, 2, 3, 4","1, 2, 3, 4",0.216
"1, 2, 3, 4","1, 2, 3, 4",0.192
"1, 2, 3, 4","1, 2, 3, 4",0.226
"1, 2, 3, 4","1, 2, 3, 4",0.204
"1, 2, 3, 4","1, 2, 3, 4",0.23
"1, 2, 3, 4","1, 2, 3, 4",0.228
"1, 2, 3, 4","1, 2, 3, 4, 7",0.216
"1, 2, 3, 4","1, 2, 3, 4",0.202
"1, 2, 3, 4","1, 2, 3, 4",0.246
"1, 2, 3, 4","1, 2, 3, 4",0.246
"1, 2, 3, 4","1, 2, 3, 4",0.222
"1, 2, 3, 4","1, 2, 3, 4",0.258
"1, 2, 3, 4","2, 3, 4",0.228
"1, 2, 3, 4","1, 2, 3, 4",0.23
"1, 2, 3, 4","1, 2, 3, 4",0.21
"1, 2, 3, 4","1, 2, 3, 4, 8",0.212
"1, 2, 3, 4","1, 2, 3, 4",0.246
"1, 2, 3, 4","1, 2, 3, 4",0.222
"1, 2, 3, 4","1, 2, 3, 4",0.298
"1, 2, 3, 4","1, 2, 3, 4, 5",0.216
"1, 2, 3, 4","1, 2, 3, 4",0.226
"1, 2, 3, 4","1, 2, 3, 4, 8",0.224
"1, 2, 3, 4","1, 2, 3, 4",0.294
"1, 2, 3, 4","1, 2, 3, 4, 10",0.186
"1, 2, 3, 4","1, 2, 3, 4",0.188
"1, 2, 3, 4","1, 2, 3, 4",0.21
"1, 2, 3, 4","1, 2, 3, 4, 8",0.374
"1, 2, 3, 4","1, 3, 4",0.388
"1, 2, 3, 4","1, 2, 3, 4, 7",0.232
"1, 2, 3, 4","1, 2, 3, 4",0.248
"1, 2, 3, 4","1, 2, 3, 4",0.238
"1, 2, 3, 4","1, 2, 4",0.234
"1, 2, 3, 4","1, 2, 3, 4",0.228
"1, 2, 3, 4","1, 2, 3, 4, 9",0.222
"1, 2, 3, 4","1, 2, 3, 4",0.21
"1, 2, 3, 4","1, 2, 3, 4, 9",0.196
"1, 2, 3, 4","1, 2, 3, 4",0.234
"1, 2, 3, 4","1, 2, 3, 4",0.33
"1, 2, 3, 4","1, 2, 3, 4",0.26
"1, 2, 3, 4","1, 2, 3, 4, 8",0.242
"1, 2, 3, 4","2, 3",0.254
"1, 2, 3, 4","1, 2, 3, 4",0.222
"1, 2, 3, 4","1, 2, 3, 4, 8",0.23
"1, 2, 3, 4","1, 2, 3, 4",0.22
"1, 2, 3, 4","1, 2, 3, 4",0.278
"1, 2, 3, 4","1, 2, 3, 4",0.224
"1, 2, 3, 4","1, 2, 3, 4",0.208
"1, 2, 3, 4","1, 2, 3, 4",0.202
"1, 2, 3, 4","1, 2, 3, 4",0.28
"1, 2, 3, 4","1, 2, 3, 4",0.236
"1, 2, 3, 4","1, 2, 3, 4, 8",0.224
"1, 2, 3, 4","1, 2, 3, 4",0.226
"1, 2, 3, 4","1, 2, 3, 4",0.21
"1, 2, 3, 4","1, 2, 3, 4",0.212
"1, 2, 3, 4","1, 2, 3, 4",0.346
"1, 2, 3, 4","1, 2, 3, 4",0.22
"1, 2, 3, 4","1, 2, 3, 4",0.218
"1, 2, 3, 4","1, 2, 3, 4, 8",0.262
"1, 2, 3, 4","1, 2, 3, 4, 5",0.274
"1, 2, 3, 4","1, 2, 3, 4",0.206
"1, 2, 3, 4","1, 2, 3, 4",0.214
"1, 2, 3, 4","1, 2, 3, 4",0.184
"1, 2, 3, 4","1, 2, 3, 4, 7",0.226
"1, 2, 3, 4","1, 2, 3, 4",0.202
"1, 2, 3, 4","1, 2, 3, 4",0.216
"1, 2, 3, 4","1, 2, 3, 4",0.252
"1, 2, 3, 4","1, 2, 3, 4",0.224
"1, 2, 3, 4","1, 2, 3, 4",0.232
"1, 2, 3, 4","1, 3, 4",0.29
"1, 2, 3, 4","1, 2, 3, 4",0.26
"1, 2, 3, 4","1, 2, 3, 4",0.222
"1, 2, 3, 4","1, 2, 3, 4",0.232
"1, 2, 3, 4","1, 2, 3, 4",0.214
"1, 2, 3, 4","1, 2, 3, 4",0.174
"1, 2, 3, 4","1, 2, 3, 4",0.294
"1, 2, 3, 4","1, 2, 3, 4",0.28
"1, 2, 3, 4","1, 2, 3, 4",0.204
"1, 2, 3, 4","1, 2, 3, 4, 10",0.204
"1, 2, 3, 4","1, 2, 3, 4, 6",0.206
"1, 2, 3, 4","1, 2, 3, 4",0.194
"1, 2, 3, 4","1, 2, 3, 4",0.206
"1, 2, 3, 4","1, 2, 3, 4",0.182
"1, 2, 3, 4","1, 2, 3, 4, 5",0.242
"1, 2, 3, 4","1, 2, 3, 4",0.212
"1, 2, 3, 4","1, 2, 3, 4",0.176
"1, 2, 3, 4","1, 2, 3, 4",0.302
"1, 2, 3, 4","1, 2, 3, 4, 8",0.33
"1, 2, 3, 4","1, 2, 3, 4, 8",0.304
"1, 2, 3, 4","1, 2, 3, 4",0.194
"1, 2, 3, 4","1, 2, 3, 4, 9",0.276
"1, 2, 3, 4","1, 2, 3, 4",0.216
"1, 2, 3, 4","1, 2, 3, 4, 5",0.258
"1, 2, 3, 4","1, 2, 3, 4, 7",0.208
"1, 2, 3, 4","1, 2, 3, 4, 7",0.188
"1, 2, 3, 4","1, 2, 3, 4",0.226
"1, 2, 3, 4","1, 2, 3, 4",0.232
