"listS","marg","EmarClass"
"1, 2, 3, 4","1, 2, 3, 4",0.16
"1, 2, 3, 4","1, 2, 3, 4, 9",0.164
"1, 2, 3, 4","1, 2, 3, 4",0.188
"1, 2, 3, 4","1, 2, 3, 4",0.17
"1, 2, 3, 4","1, 2, 3, 4",0.192
"1, 2, 3, 4","1, 2, 3, 4",0.158
"1, 2, 3, 4","1, 2, 3, 4",0.186
"1, 2, 3, 4","1, 2, 3, 4",0.202
"1, 2, 3, 4","1, 2, 3, 4",0.19
"1, 2, 3, 4","1, 2, 3, 4",0.142
"1, 2, 3, 4","1, 2, 3, 4",0.188
"1, 2, 3, 4","1, 2, 3, 4, 8",0.18
"1, 2, 3, 4","1, 2, 3, 4",0.17
"1, 2, 3, 4","1, 2, 3, 4",0.156
"1, 2, 3, 4","1, 2, 3, 4, 10",0.17
"1, 2, 3, 4","1, 2, 3, 4",0.198
"1, 2, 3, 4","1, 2, 3, 4",0.172
"1, 2, 3, 4","1, 2, 3, 4",0.136
"1, 2, 3, 4","1, 2, 3, 4",0.142
"1, 2, 3, 4","1, 2, 3, 4",0.176
"1, 2, 3, 4","1, 2, 3, 4",0.16
"1, 2, 3, 4","1, 2, 3, 4",0.15
"1, 2, 3, 4","1, 2, 3, 4",0.18
"1, 2, 3, 4","1, 2, 3, 4",0.168
"1, 2, 3, 4","1, 2, 3, 4",0.158
"1, 2, 3, 4","1, 2, 3, 4",0.194
"1, 2, 3, 4","1, 2, 3, 4",0.172
"1, 2, 3, 4","1, 2, 3, 4",0.198
"1, 2, 3, 4","1, 2, 3, 4",0.162
"1, 2, 3, 4","1, 2, 3, 4",0.186
"1, 2, 3, 4","1, 2, 3, 4",0.168
"1, 2, 3, 4","1, 2, 3, 4",0.154
"1, 2, 3, 4","1, 2, 3, 4",0.166
"1, 2, 3, 4","1, 2, 3, 4",0.156
"1, 2, 3, 4","1, 2, 3, 4",0.176
"1, 2, 3, 4","1, 2, 3, 4",0.174
"1, 2, 3, 4","1, 2, 3, 4",0.184
"1, 2, 3, 4","1, 2, 3, 4",0.162
"1, 2, 3, 4","1, 2, 3, 4",0.168
"1, 2, 3, 4","1, 2, 3, 4",0.168
"1, 2, 3, 4","1, 2, 3, 4",0.188
"1, 2, 3, 4","1, 2, 3, 4",0.18
"1, 2, 3, 4","1, 2, 3, 4",0.178
"1, 2, 3, 4","1, 2, 3, 4",0.204
"1, 2, 3, 4","1, 2, 3, 4",0.18
"1, 2, 3, 4","1, 2, 3, 4",0.178
"1, 2, 3, 4","1, 2, 3, 4",0.182
"1, 2, 3, 4","1, 2, 3, 4",0.202
"1, 2, 3, 4","1, 2, 3, 4",0.148
"1, 2, 3, 4","1, 2, 3, 4",0.2
"1, 2, 3, 4","1, 2, 3, 4",0.162
"1, 2, 3, 4","1, 2, 3, 4",0.202
"1, 2, 3, 4","1, 2, 3, 4",0.182
"1, 2, 3, 4","1, 2, 3, 4",0.152
"1, 2, 3, 4","1, 2, 3, 4",0.156
"1, 2, 3, 4","1, 2, 3, 4",0.166
"1, 2, 3, 4","1, 2, 3, 4",0.17
"1, 2, 3, 4","1, 2, 3, 4",0.208
"1, 2, 3, 4","1, 2, 3, 4",0.162
"1, 2, 3, 4","1, 2, 3, 4",0.17
"1, 2, 3, 4","1, 2, 3, 4",0.146
"1, 2, 3, 4","1, 2, 3, 4",0.144
"1, 2, 3, 4","1, 2, 3, 4",0.196
"1, 2, 3, 4","1, 2, 3, 4",0.182
"1, 2, 3, 4","1, 2, 3, 4, 6",0.19
"1, 2, 3, 4","1, 2, 3, 4",0.212
"1, 2, 3, 4","1, 2, 3, 4",0.172
"1, 2, 3, 4","1, 2, 3, 4",0.174
"1, 2, 3, 4","1, 2, 3, 4",0.178
"1, 2, 3, 4","1, 2, 3, 4",0.174
"1, 2, 3, 4","1, 2, 3, 4",0.212
"1, 2, 3, 4","1, 2, 3, 4",0.156
"1, 2, 3, 4","1, 2, 3, 4",0.148
"1, 2, 3, 4","1, 2, 3, 4",0.172
"1, 2, 3, 4","1, 2, 3, 4",0.176
"1, 2, 3, 4","1, 2, 3, 4",0.16
"1, 2, 3, 4","1, 2, 3, 4",0.174
"1, 2, 3, 4","1, 2, 3, 4",0.164
"1, 2, 3, 4","1, 2, 3, 4, 6",0.19
"1, 2, 3, 4","1, 2, 3, 4",0.138
"1, 2, 3, 4","1, 2, 3, 4",0.176
"1, 2, 3, 4","1, 2, 3, 4, 7",0.19
"1, 2, 3, 4","1, 2, 3, 4",0.192
"1, 2, 3, 4","1, 2, 3, 4",0.18
"1, 2, 3, 4","1, 2, 3, 4",0.174
"1, 2, 3, 4","1, 2, 3, 4",0.19
"1, 2, 3, 4","1, 2, 3, 4",0.158
"1, 2, 3, 4","1, 2, 3, 4",0.184
"1, 2, 3, 4","1, 2, 3, 4",0.136
"1, 2, 3, 4","1, 2, 3, 4",0.172
"1, 2, 3, 4","1, 2, 3, 4",0.182
"1, 2, 3, 4","1, 2, 3, 4",0.146
"1, 2, 3, 4","1, 2, 3, 4",0.188
"1, 2, 3, 4","1, 2, 3, 4",0.176
"1, 2, 3, 4","1, 2, 3, 4",0.148
"1, 2, 3, 4","1, 2, 3, 4",0.142
"1, 2, 3, 4","1, 2, 3, 4",0.14
"1, 2, 3, 4","1, 2, 3, 4",0.184
"1, 2, 3, 4","1, 2, 3, 4",0.182
"1, 2, 3, 4","1, 2, 3, 4",0.162
